content,label
"['potential', 'use', 'free', 'vulnerability', 'exist', 'sv', '##g', 'images', 'ref', '##resh', 'driver', 'destroy', 'in', '##op', '##port', '##une', 'time', 'lead', 'memory', 'corruption', 'potentially', 'exploit', '##able', 'crash', 'note', 'advisory', 'add', 'december', 'discover', 'inadvertently', 'leave', 'original', 'advisory', 'fix', 'include', 'original', 'release', 'fire', '##fo', '##x', 'vulnerability', 'affect', 'fire', '##fo', '##x']",CWE-416
"['intel', '##bra', 'device', 'allow', 'cs', '##rf', 'bypass', 'form', 'demonstrate', 'launch', 'scrap', '##y', 'process']",CWE-352
"['em', '##log', 'allow', 'remote', 'authentic', '##ate', 'user', 'del', '##ete', 'arbitrary', 'file', 'ad', '##min', 'directory', 'travers', '##al']",CWE-22
"['nova', 'lit', '##e', 'theme', 'word', '##press', 'allow', 'reflected', 'x', '##ss']",CWE-79
"['juniper', 'sr', '##x', 'series', 'device', 'juno', '##s', 'application', 'layer', 'gateway', 'al', '##g', 'enable', 'allow', 'remote', 'attacker', 'cause', 'denial', 'service', 'flow', '##d', 'crash', 'craft', 'packet']",CWE-119
"['ti', '##ff', '##write', '##di', '##re', '##ctor', '##yt', '##ag', '##che', '##cked', '##ration', '##al', 'function', 'li', '##bt', '##iff', 'allow', 'remote', 'attacker', 'cause', 'denial', 'service', 'assertion', 'failure', 'application', 'exit', 'craft', 'ti', '##ff', 'file']",CWE-617
"['improper', 'neutral', '##ization', 'input', 'web', 'page', 'generation', 'cross', 'site', 'script', '##ing', 'vulnerability', 'fancy', '##the', '##mes', 'opt', '##in', 'forms', 'simple', 'list', 'building', 'plug', '##in', 'word', '##press', 'allow', 'stored', 'issue', 'affect', 'opt', '##in', 'forms', 'simple', 'list', 'building', 'plug', '##in', 'word', '##press', 'n']",CWE-352
"['web', '##kit', 'apple', 'ios', 'itunes', 'allow', 'remote', 'attacker', 'execute', 'arbitrary', 'code', 'cause', 'denial', 'service', 'memory', 'corruption', 'application', 'crash', 'craft', 'web', 'site', 'different', 'vulnerability', 'web', '##kit', 'cf', 'list', 'apple', 'apple']",CWE-119
"['issue', 'discover', 'pri', '##se', 'ada', '##s', 'log', 'dat', '##um', 'properly', 'escape', 'lead', 'persistent', 'x', '##ss', 'administration', 'panel']",CWE-79
"['photos', '##hop', 'elements', 'version', 'build', 'early', 'affect', 'bound', 'write', 'vulnerability', 'result', 'arbitrary', 'code', 'execution', 'context', 'current', 'user', 'exploitation', 'issue', 'require', 'user', 'interaction', 'victim', 'open', 'malicious', 'tt', '##f', 'file']",CWE-787
"['adobe', 'substance', 'painter', 'version', 'early', 'affect', 'bound', 'read', 'vulnerability', 'par', '##se', 'craft', 'file', 'result', 'read', 'past', 'end', 'all', '##oca', '##te', 'memory', 'structure', 'attacker', 'leverage', 'vulnerability', 'execute', 'code', 'context', 'current', 'user', 'exploitation', 'issue', 'require', 'user', 'interaction', 'victim', 'open', 'malicious', 'file']",CWE-125
"['specially', 'craft', 'command', 'line', 'argument', 'lead', 'arbitrary', 'file', 'del', '##eti', '##on', 'del', 'file', 'del', '##ete', 'command', 'attacker', 'provide', 'malicious', 'input', 'trigger', 'vulnerability']",CWE-22
"['function', 'module', 'pi', '##vot', '##x', 'mis', '##hand', '##le', 'ur', '##i', 'allow', 'x', '##ss', 'vector', 'involve', 'quote', 'self', 'smart', '##y', 'tag']",CWE-79
"['cs', '##rf', 'issue', 'wi', '##ki', '##d', 'enterprise', 'server', 'allow', 'remote', 'attacker', 'trick', 'authentic', '##ated', 'user', 'perform', 'un', '##int', '##ended', 'action', 'create', 'del', '##ete', 'ad', '##min', 'user', 'create', 'del', '##ete', 'group', 'create', 'del', '##ete', 'enable', 'di', '##sable', 'normal', 'user', 'device']",CWE-352
"['cross', 'site', 'script', '##ing', 'x', '##ss', 'vulnerability', 'si', '##ft', 'unity', 'allow', 'remote', 'attacker', 'in', '##ject', 'arbitrary', 'web', 'script', 'html', 'q', '##t', 'parameter', 'note', 'proven', '##ance', 'information', 'unknown', 'detail', 'obtain', 'solely', 'party', 'information']",CWE-79
"['session', 'fix', '##ation', 'vulnerability', 'virtual', 'hosting', 'control', 'system', 'v', '##hc', '##s', 'early', 'allow', 'remote', 'attacker', 'hi', '##jack', 'web', 'session', 'set', 'php', '##ses', '##si', '##d', 'parameter']",CWE-287
