content,label
"['use', 'free', 'vulnerability', 'memory', 'corruption', 'exploit', '##able', 'crash', 'sv', '##g', 'images', 'ref', '##resh', 'driver', 'memory', 'management', 'memory', 'corruption', 'crash', 'security', 'exploitation']",CWE-416
"['cs', '##rf', 'bypass', 'log', '##in', 'form', 'vulnerability', 'scrap', '##y', 'process', 'launch', 'intel', '##bra', '##s', 'web', 'log', '##in', 'cross', 'site', 'request', 'forge', '##ry', 'unauthorized', 'access', 'form', 'bypass', 'process', 'execution']",CWE-352
"['arbitrary', 'file', 'del', '##eti', '##on', 'directory', 'travers', '##al', 'remote', 'authentication', 'ad', '##min', 'template', 'del', '##ete', 'action', 'directory', 'travers', '##al', 'unauthorized', 'file', 'del', '##eti', '##on', 'security', 'compromise', 'access', 'control', 'bypass']",CWE-22
"['reflect', 'x', '##ss', 'cross', 'site', 'script', '##ing', 'web', 'security', 'nova', 'lit', '##e', 'theme', 'word', '##press', 'unauthorized', 'dat', '##um', 'access', 'website', 'compromise', 'client', 'attack']",CWE-79
"['denial', 'service', 'al', '##g', 'vulnerability', 'flow', '##d', 'crash', 'juniper', 'sr', '##x', 'series', 'juno', '##s', 'application', 'layer', 'gateway', 'craft', 'packet', 'remote', 'attack', 'service', 'disruption', 'packet', 'manipulation']",CWE-20
"['denial', 'service', 'assertion', 'failure', 'ti', '##ff', '##write', '##di', '##re', '##ctor', '##yt', '##ag', '##che', '##cked', '##ration', '##al', 'craft', 'ti', '##ff', 'file', 'remote', 'attacker', 'application', 'exit', 'ti', '##ff', 'file', 'exploitation']",CWE-20
"['cross', 'site', 'script', '##ing', 'store', 'x', '##ss', 'input', 'neutral', '##ization', 'web', 'page', 'generation', 'fancy', '##the', '##mes', 'opt', '##in', 'forms', 'word', '##press', 'plug', '##in', 'data', 'manipulation', 'arbitrary', 'code', 'execution', 'vulnerability', 'exploitation']",CWE-79
"['memory', 'corruption', 'arbitrary', 'code', 'execution', 'denial', 'service', 'remote', 'attack', 'crafted', 'web', 'site', 'vulnerability', 'application', 'crash', 'memory', 'corruption', 'remote', 'code', 'execution']",CWE-119
"['persistent', 'x', '##ss', 'improper', 'data', 'escaping', 'administrative', 'panel', 'log', 'dat', '##um', 'escaping', 'vulnerability', 'persistent', 'attack', 'data', 'manipulation', 'unauthorized', 'access']",CWE-20
"['bound', 'write', 'vulnerability', 'arbitrary', 'code', 'execution', 'user', 'interaction', 'photos', '##hop', 'elements', 'tt', '##f', 'file', 'user', 'context', 'arbitrary', 'code', 'execution', 'user', 'interaction', 'require', 'tt', '##f', 'file', 'exploitation']",CWE-787
"['bound', 'read', 'vulnerability', 'crafted', 'file', 'par', '##sing', 'code', 'execution', 'memory', 'read', 'user', 'interaction', 'malicious', 'file', 'memory', 'corruption', 'code', 'execution', 'user', 'context']",CWE-125
"['arbitrary', 'file', 'del', '##eti', '##on', 'command', 'injection', 'malicious', 'inputs', 'specially', 'craft', 'command', 'line', 'argument', 'del', 'file', 'del', '##ete', 'command', 'attacker', 'data', 'loss', 'unauthorized', 'file', 'del', '##eti', '##on', 'system', 'compromise']",CWE-77
"['cross', 'site', 'script', '##ing', 'input', 'validation', 'code', 'injection', 'function', 'ur', '##i', 'mis', '##hand', '##le', 'quotes', 'self', 'smart', '##y', 'tag', 'x', '##ss', 'attack', 'code', 'execution', 'security', 'vulnerability']",CWE-79
"['cs', '##rf', 'vulnerability', 'unauthorized', 'action', 'user', 'authentication', 'remote', 'attacker', 'un', '##int', '##ended', 'action', 'authentic', '##ated', 'user', 'unauthorized', 'action', 'privilege', 'es', '##cala', '##tion', 'user', 'group', 'manipulation']",CWE-352
"['cross', 'site', 'script', '##ing', 'x', '##ss', 'vulnerability', 'remote', 'attack', 'si', '##ft', 'unity', 'arbitrary', 'web', 'script', 'injection', 'html', 'injection', 'critical', 'data', 'exposure', 'party', 'information']",CWE-79
"['session', 'fix', '##ation', 'vulnerability', 'web', 'session', 'hi', '##jack', '##ing', 'v', '##hc', '##s', 'remote', 'attacker', 'php', '##ses', '##si', '##d', 'parameter', 'virtual', 'hosting', 'control', 'system', 'unauthorized', 'session', 'hi', '##jack', '##ing', 'compromise', 'web', 'session', 'security', 'vulnerability']",CWE-287
"['input', 'data', 'handling', 'heap', 'buffer', 'over', '##flow', 'memory', 'access', 'loud', '##ness', 'function', 'li', '##bm', '##ys', '##of', '##a', 'library', 'una', '##llo', '##cated', 'memory', 'block', 'heap', 'buffer', 'over', '##flow', 'memory', 'corruption', 'security', 'vulnerability']",CWE-787
"['cross', 'site', 'script', '##ing', 'x', '##ss', 'vulnerability', 'online', 'dj', 'booking', 'management', 'system', 'vulnerability', 'web', 'application', 'security', 'data', 'manipulation', 'unauthorized', 'access', 'security', 'risk']",CWE-79
"['cs', '##rf', 'attack', 'user', 'account', 'addition', 'ad', '##min', 'panel', 'vulnerability', 'dos', '##aves', '##et', '##up', 'action', 'ad', '##min', 'unauthorized', 'account', 'addition', 'security', 'bypass', 'ad', '##min', 'panel', 'manipulation']",CWE-352
"['auto', '##com', '##ple', '##te', 'attribute', 'sensitive', 'information', 'exposure', 'version', 'vulnerability', 'data', 'retrieval', 'field', 'attribute', 'version', 'range', 'unauthorized', 'data', 'exposure', 'security', 'vulnerability', 'information', 'disclosure']",CWE-200
"['transmit', 'des', '##cript', '##or', 'vulnerability', 'denial', 'service', 'network', 'packet', 'processing', 'function', 'h', '##w', 'net', 'q', '##em', '##u', 'infinite', 'loop', 'guest', 'crash', 'unspecified', 'vector']",CWE-835
"['cross', 'site', 'script', '##ing', 'web', 'ui', 'vulnerability', 'credentials', 'disclosure', 'arbitrary', 'java', '##script', 'trust', 'session', 'ibm', 'jazz', 'foundation', 'ibm', 'engineering', 'product', 'alter', 'functionality', 'potential', 'cr', '##ede', '##ntial', 'disclosure', 'web', 'ui', 'manipulation']",CWE-79
"['cross', 'site', 'script', '##ing', 'x', '##ss', 'un', '##san', '##iti', '##ze', 'dat', '##um', 'render', 'ad', '##min', 'interaction', 'vulnerability', 'mon', '##go', 'express', 'web', 'base', 'interface', 'data', 'leak', '##age', 'unauthorized', 'dat', '##um', 'access', 'application', 'compromise']",CWE-79
"['stack', 'base', 'buffer', 'over', '##flow', 'post', 'authentication', 'vulnerability', 'fire', '##wall', 'crash', 'sonic', '##os', 'ur', '##l', 'end', '##point', 'system', 'crash', 'security', 'compromise', 'unauthorized', 'access']",CWE-787
"['security', 'feature', 'bypass', 'registry', 'check', 'mis', '##hand', '##le', 'arbitrary', 'command', 'execution', 'user', 'assist', 'remote', 'attacker', 'craft', 'em', '##bed', 'content', 'arbitrary', 'command', 'execution', 'security', 'feature', 'bypass', 'attack', 'vector']",CWE-20
"['buffer', 'over', '##flow', 'arbitrary', 'code', 'execution', 'remote', 'attack', 'ur', '##i', 'file', 'hr', '##ef', 'attribute', 'remote', 'code', 'execution', 'memory', 'corruption', 'security', 'vulnerability']",CWE-119
"['cap', '##wa', '##p', 'protocol', 'vulnerability', 'input', 'validation', 'denial', 'service', 'cisco', 'ios', 'x', '##e', 'wireless', 'controller', 'software', 'catalyst', 'family', 'md', '##ns', 'query', 'crash', 're', '##load', 'network', 'disruption', 'device', 'una', '##va', '##ila', '##bility']",CWE-400
"['sql', 'injection', 'arbitrary', 'sql', 'commands', 'remote', 'attackers', 'parameter', 'user', 'parameter', 'ad', '##min', 'remote', 'code', 'execution', 'data', 'manipulation', 'unauthorized', 'access']",CWE-89
"['use', 'free', 'vulnerability', 'arbitrary', 'code', 'execution', 'adobe', 'ac', '##ro', '##bat', 'reader', 'version', 'exploitation', 'security', 'vulnerability', 'code', 'execution', 'arbitrary', 'control']",CWE-416
"['buffer', 'over', '##flow', 'arbitrary', 'code', 'execution', 'remote', 'attack', 'stack', 'base', 'wo', '##ds', '##sh', '##ser', '##ver', 'free', '##ss', '##hd', 'remote', 'code', 'execution', 'long', 'key', 'exchange', 'algorithm', 'vulnerability', 'exploitation']",CWE-119
